episode,phase,total_steps,outcome,length,discounted_return
615,il,11464,collision,21,-0.1591
616,il,11517,collision,53,-0.0686
617,il,11526,success,9,0.81
618,il,11529,collision,3,-0.248
619,il,11612,too_close,83,0.0153
620,il,11625,too_close,13,0.729
621,il,11641,success,16,0.6654
622,il,11660,collision,19,-0.1696
623,il,11675,collision,15,-0.1781
624,il,11700,success,25,0.5314
625,il,11719,success,19,0.6224
626,il,11728,collision,9,-0.2227
627,il,11736,success,8,0.8316
628,il,11759,too_close,23,0.5602
629,il,11806,too_close,47,0.2903
630,il,11816,collision,10,-0.2081
631,il,11854,collision,38,-0.0943
632,il,11878,too_close,24,0.5381
633,il,11899,collision,21,-0.243
634,il,11910,collision,11,-0.2087
635,il,11934,too_close,24,0.5335
636,il,11963,success,29,0.4783
637,il,11987,collision,24,-0.1584
638,il,12004,collision,17,-0.1864
639,il,12019,success,15,0.6916
640,il,12023,collision,4,-0.231
641,il,12049,too_close,26,0.5176
642,il,12065,success,16,0.6736
643,il,12084,collision,19,-0.1556
644,il,12094,collision,10,-0.2135
645,il,12129,too_close,35,0.4084
646,il,12157,too_close,28,0.4911
647,il,12171,success,14,0.71
648,il,12177,collision,6,-0.2273
649,il,12210,too_close,33,0.4305
650,il,12230,collision,20,-0.1597
651,il,12239,collision,9,-0.2107
652,il,12249,too_close,10,0.7889
653,il,12294,too_close,45,0.2935
654,il,12312,collision,18,-0.176
655,il,12328,success,16,0.6736
656,il,12351,too_close,23,0.5602
657,il,12358,collision,7,-0.2281
658,il,12370,too_close,12,0.7369
659,il,12384,success,14,0.71
660,il,12404,success,20,0.6063
661,il,12407,collision,3,-0.2534
662,il,12426,collision,19,-0.1605
663,il,12445,success,19,0.6224
664,il,12457,success,12,0.7485
665,il,12466,success,9,0.81
666,il,12471,success,5,0.9
667,il,12482,too_close,11,0.7646
668,il,12527,too_close,45,0.3138
669,il,12572,success,45,0.3138
670,il,12645,collision,73,-0.0426
671,il,12671,success,26,0.5176
672,il,12717,collision,46,-0.0924
673,il,12734,success,17,0.6561
674,il,12765,success,31,0.4538
675,il,12820,success,55,0.2411
676,il,12822,collision,2,-0.2653
677,il,12837,too_close,15,0.6649
678,il,12848,too_close,11,0.7684
679,il,12868,too_close,20,0.6063
680,il,12880,success,12,0.7485
681,il,12892,too_close,12,0.7477
682,il,12927,too_close,35,0.4084
683,il,12932,success,5,0.8999
684,il,12962,success,30,0.4659
685,il,12977,collision,15,-0.1831
686,il,12978,collision,1,-0.25
687,il,12983,success,5,0.9
688,il,13024,collision,41,-0.1191
689,il,13045,collision,21,-0.1539
690,il,13052,collision,7,-0.3027
691,il,13078,success,26,0.5176
692,il,13089,success,11,0.7684
693,il,13111,collision,22,-0.1526
694,il,13146,too_close,35,0.3638
695,il,13161,collision,15,-0.1778
696,il,13168,collision,7,-0.234
697,il,13186,collision,18,-0.2301
698,il,13197,success,11,0.7684
699,il,13201,success,4,0.9169
700,il,13210,success,9,0.81
701,il,13223,success,13,0.729
702,il,13233,success,10,0.7889
703,il,13245,collision,12,-0.1941
704,il,13255,collision,10,-0.2082
705,il,13262,collision,7,-0.286
706,il,13283,too_close,21,0.5722
707,il,13312,too_close,29,0.4704
708,il,13322,too_close,10,0.7619
709,il,13337,collision,15,-0.1754
710,il,13347,collision,10,-0.1973
711,il,13353,collision,6,-0.2192
712,il,13369,success,16,0.6736
713,il,13382,too_close,13,0.7186
714,il,13412,success,30,0.4659
715,il,13421,collision,9,-0.2045
716,il,13445,too_close,24,0.5456
717,il,13479,too_close,34,0.3838
718,il,13499,success,20,0.6063
719,il,13532,too_close,33,0.4305
720,il,13540,collision,8,-0.2325
721,il,13548,success,8,0.8316
722,il,13561,success,13,0.729
723,il,13568,success,7,0.8538
